import time: self [us] | cumulative | imported package
import time:       388 |        388 |             numpy._core._dtype_ctypes
import time:      1186 |       1186 |             numpy._core._internal
import time:       618 |        618 |             numpy._pytesttester
import time:      2110 |   18634599 |           numpy._core
import time:        66 |   18634664 |         numpy._core._multiarray_umath
import time:      1390 |   18636053 |       numpy.__config__
import time:   8377226 |    8377226 |                         numpy._typing._nbit_base
import time:  11448884 |   11448884 |                         numpy._typing._nested_sequence
import time:   2301405 |    2301405 |                         numpy._typing._shape
import time:      2944 |   22130457 |                       numpy._typing._array_like
import time:      1568 |       1568 |                       numpy._typing._char_codes
import time:      2298 |       2298 |                       numpy._typing._dtype_like
import time:   2667273 |    2667273 |                       numpy._typing._nbit
import time:   2177975 |    2177975 |                       numpy._typing._scalars
import time:   1512771 |    1512771 |                       numpy._typing._ufunc
import time:   7020499 |   35512838 |                     numpy._typing
import time:   8008943 |    8008943 |                         numpy.lib._array_utils_impl
import time:      1343 |    8010285 |                       numpy.lib._stride_tricks_impl
import time:      1977 |    8012262 |                     numpy.lib._twodim_base_impl
import time:  18871881 |   18871881 |                     numpy.lib.array_utils
import time:      6953 |       6953 |                     numpy.linalg._umath_linalg
import time:      4002 |   62407933 |                   numpy.linalg._linalg
import time:   2983610 |   65391543 |                 numpy.linalg
import time:      2319 |   65393861 |               numpy.matrixlib.defmatrix
import time:   2434825 |   67828685 |             numpy.matrixlib
import time:       803 |        803 |               numpy.lib._histograms_impl
import time:      2532 |       3335 |             numpy.lib._function_base_impl
import time:      1253 |   67833273 |           numpy.lib._index_tricks_impl
import time:      2082 |   67835355 |         numpy.lib._arraypad_impl
import time:      1793 |       1793 |         numpy.lib._arraysetops_impl
import time:       508 |        508 |         numpy.lib._arrayterator_impl
import time:       854 |        854 |         numpy.lib._nanfunctions_impl
import time:      1192 |       1192 |               numpy.lib._utils_impl
import time:      2131 |       3322 |             numpy.lib._format_impl
import time:   2843240 |    2846562 |           numpy.lib.format
import time:       977 |        977 |           numpy.lib._datasource
import time:      1094 |       1094 |           numpy.lib._iotools
import time:      1455 |    2850087 |         numpy.lib._npyio_impl
import time:       729 |        729 |             numpy.lib._ufunclike_impl
import time:       850 |       1578 |           numpy.lib._type_check_impl
import time:      1574 |       3152 |         numpy.lib._polynomial_impl
import time:      1022 |       1022 |         numpy.lib._shape_base_impl
import time:       502 |        502 |         numpy.lib._version
import time:   2879208 |    2879208 |         numpy.lib.introspect
import time:      2677 |       2677 |         numpy.lib.mixins
import time:  17247920 |   17247920 |         numpy.lib.npyio
import time:      2447 |       2447 |           numpy.lib._scimath_impl
import time:   5003667 |    5006113 |         numpy.lib.scimath
import time:   1454686 |    1454686 |         numpy.lib.stride_tricks
import time:   2792508 |  100076378 |       numpy.lib
import time:      1878 |       1878 |       numpy._array_api_info
import time:      8177 |  129526554 |     numpy
import time:   1458591 |    1458591 |     torch._custom_class_base
import time:    516308 |  131501452 |   torch._C
import time:       886 |        886 |     copy
import time:      1149 |       1149 |       __future__
import time:      2680 |       3829 |     torch.overrides
import time:      3033 |       7747 |   torch._tensor
import time:       630 |        630 |     torch.types
import time:      1178 |       1808 |   torch.storage
import time:      1592 |       1592 |     torch.amp.autocast_mode
import time:      1740 |       1740 |     torch.amp.grad_scaler
import time:   7184325 |    7187656 |   torch.amp
import time:       884 |        884 |   torch.random
import time:      3283 |       3283 |         _heapq
import time:       877 |       4160 |       heapq
import time:      2315 |       6475 |     difflib
import time:       121 |        121 |       pwd
import time:      3493 |       3493 |       grp
import time:      2977 |       6590 |     tarfile
import time:       927 |        927 |     torch._weights_only_unpickler
import time:       925 |        925 |     torch._sources
import time:      2182 |       2182 |     mmap
import time:      2431 |      19527 |   torch.serialization
import time:      1442 |       1442 |     dataclasses
import time:      1881 |       3322 |   torch._tensor_str
import time:       596 |        596 |       importlib._abc
import time:       184 |        780 |     importlib.util
import time:       488 |        488 |     torch.cuda._device_limits
import time:       467 |        467 |     torch.cuda.gds
import time:       301 |        301 |         cuda
import time:        27 |        328 |       cuda.bindings
import time:       548 |        875 |     torch.cuda._utils
import time:        98 |         98 |         cuda
import time:        27 |        124 |       cuda.bindings
import time:       950 |       1073 |     torch.cuda.graphs
import time:       560 |        560 |     torch.cuda.green_contexts
import time:       412 |        412 |     torch.cuda.streams
import time:        77 |         77 |     pynvml
import time:      2127 |       2127 |           binascii
import time:       480 |       2607 |         base64
import time:       570 |       3176 |       torch.cuda._memory_viz
import time:       905 |       4081 |     torch.cuda.memory
import time:       454 |        454 |     torch.cuda.random
import time:      1445 |       1445 |       torch.cuda.amp.autocast_mode
import time:    794420 |     794420 |       torch.cuda.amp.common
import time:   2610707 |    3406571 |     torch.cuda.amp
import time:      5844 |    3421677 |   torch.cuda
import time:     14577 |  164892757 | torch
Traceback (most recent call last):
  File "<string>", line 1, in <module>
    import torch
  File "/Users/jaydeshmukh/Desktop/rag-x-adaptive-agent/.venv/lib/python3.13/site-packages/torch/__init__.py", line 2585, in <module>
    _C._initExtension(_manager_path())  # pyrefly: ignore[bad-argument-type]
    ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "/Users/jaydeshmukh/Desktop/rag-x-adaptive-agent/.venv/lib/python3.13/site-packages/torch/cuda/__init__.py", line 2045, in <module>
    from . import amp, graph_annotations, jiterator, nvtx, profiler, sparse, tunable
  File "/Users/jaydeshmukh/Desktop/rag-x-adaptive-agent/.venv/lib/python3.13/site-packages/torch/cuda/amp/__init__.py", line 3, in <module>
    from .common import amp_definitely_not_available
  File "<frozen importlib._bootstrap>", line 1360, in _find_and_load
  File "<frozen importlib._bootstrap>", line 1331, in _find_and_load_unlocked
  File "<frozen importlib._bootstrap>", line 935, in _load_unlocked
  File "<frozen importlib._bootstrap_external>", line 1022, in exec_module
  File "<frozen importlib._bootstrap_external>", line 1118, in get_code
  File "<frozen importlib._bootstrap_external>", line 1218, in get_data
KeyboardInterrupt
